,scores,labels
0,0.019214675,0
1,0.03371557,0
2,0.009971707,0
3,0.029286325,0
4,0.016158037,0
5,0.053210385,0
6,0.016910821,0
7,0.016765913,0
8,0.017520739,0
9,0.03199618,0
10,0.026775736,0
11,0.018839918,0
12,0.06510187,0
13,0.05240247,0
14,0.029040812,0
15,0.015442571,0
16,0.019128263,0
17,0.036824953,0
18,0.00873196,0
19,0.037569214,0
20,0.14343008,0
21,0.0299638,0
22,0.041559324,0
23,0.011584132,0
24,0.025633518,0
25,0.03572327,0
26,0.017623434,0
27,0.0108709885,0
28,0.039455906,0
29,0.0064828456,0
30,0.006491194,0
31,0.015376233,0
32,0.016181072,0
33,0.028465625,0
34,0.09408768,0
35,0.02842744,0
36,0.017604286,0
37,0.024389321,0
38,0.058648035,0
39,0.009538603,0
40,0.020355182,0
41,0.006747378,0
42,0.02984509,0
43,0.019135647,0
44,0.012638191,0
45,0.029940834,0
46,0.017733596,0
47,0.014163006,0
48,0.015072952,0
49,0.006554568,0
50,0.05592219,0
51,0.032452468,0
52,0.027178856,0
53,0.037936237,0
54,0.029002076,0
55,0.013753192,0
56,0.04504921,0
57,0.01239137,0
58,0.023360046,0
59,0.05050364,0
60,0.013677599,0
61,0.15774053,0
62,0.018726317,0
63,0.038541615,0
64,0.0086632585,0
65,0.011174776,0
66,0.0074603404,0
67,0.017009914,0
68,0.016501093,0
69,0.0068974514,0
70,0.006758128,0
71,0.016917553,0
72,0.008953823,0
73,0.0022409963,0
74,0.10219492,0
75,0.036912132,0
76,0.001984291,0
77,0.0030160886,0
78,0.009021773,0
79,0.054090157,0
80,0.0,0
81,0.010192834,0
82,0.024055097,0
83,0.0066228053,0
84,0.04276353,0
85,0.020308323,0
86,0.015248673,0
87,0.047678303,0
88,0.038378786,0
89,0.015390556,0
90,0.015553199,0
91,0.01290834,0
92,0.045679748,0
93,0.04192428,0
94,0.014566822,0
95,0.019790383,0
96,0.03062874,0
97,0.02059012,0
98,0.011613486,0
99,0.011029124,0
100,0.021306058,0
101,0.013272719,0
102,0.010970542,0
103,0.015895473,0
104,0.003094142,0
105,0.009973175,0
106,0.012904947,0
107,0.030731093,0
108,0.003254203,0
109,0.0051228176,0
110,0.035241168,0
111,0.009234805,0
112,0.0021825158,0
113,0.01251932,0
114,0.009216428,0
115,0.02192961,0
116,0.028095117,0
117,0.0067676324,0
118,0.010954287,0
119,0.02533418,0
120,0.10560656,0
121,0.015313219,0
122,0.0046188454,0
123,0.01783838,0
124,0.09363198,0
125,0.02083378,0
126,0.026889134,0
127,0.009887589,0
128,0.026786275,0
129,0.015013793,0
130,0.07927051,0
131,0.023178097,0
132,0.0057183644,0
133,0.022785109,0
134,0.018893152,0
135,0.010577133,0
136,0.009343893,0
137,0.017049378,0
138,0.017334245,0
139,0.022960868,0
140,0.009703358,0
141,0.0092500495,0
142,0.0074285306,0
143,0.095722064,0
144,0.017556677,0
145,0.0040514614,0
146,0.011638063,0
147,0.0269876,0
148,0.03284777,0
149,0.0057785525,0
150,0.01773746,0
151,0.014054212,0
152,0.016421769,0
153,0.050771687,0
154,0.01746661,0
155,0.05271541,0
156,0.006713408,0
157,0.020256964,0
158,0.042274073,0
159,0.018706024,0
160,0.07202192,0
161,0.016570171,0
162,0.005799439,0
163,0.01875605,0
164,0.036280762,0
165,0.009797939,0
166,0.005813347,0
167,0.03535735,0
168,0.029223323,0
169,0.006016264,0
170,0.022685114,0
171,0.05042814,0
172,0.007261227,0
173,0.01954034,0
174,0.02130753,0
175,0.024619207,0
176,0.00876199,0
177,0.001069273,0
178,0.019968383,0
179,0.0073804916,0
180,0.011011578,0
181,0.008253159,0
182,0.059180867,0
183,0.079640605,0
184,0.017412027,0
185,0.17427644,0
186,0.0127733955,0
187,0.015409372,0
188,0.01155881,0
189,0.00948723,0
190,0.032544587,0
191,0.007975804,0
192,0.02129365,0
193,0.014668254,0
194,0.019351672,0
195,0.011202411,0
196,0.0053487276,0
197,0.025398819,0
